"","Province.State","Country.Region","Lat","Long","date","cases","type"
"1","","Japan",35.6762,139.6503,2020-01-22,2,"confirmed"
"2","","South Korea",37.5665,126.978,2020-01-22,1,"confirmed"
"3","","Thailand",13.7563,100.5018,2020-01-22,2,"confirmed"
"4","Anhui","Mainland China",31.82571,117.2264,2020-01-22,1,"confirmed"
"5","Beijing","Mainland China",40.18238,116.4142,2020-01-22,14,"confirmed"
"6","Chongqing","Mainland China",30.05718,107.874,2020-01-22,6,"confirmed"
"7","Fujian","Mainland China",26.07783,117.9895,2020-01-22,1,"confirmed"
"8","Guangdong","Mainland China",23.33841,113.422,2020-01-22,26,"confirmed"
"9","Guangxi","Mainland China",23.82908,108.7881,2020-01-22,2,"confirmed"
"10","Guizhou","Mainland China",26.81536,106.8748,2020-01-22,1,"confirmed"
"11","Hainan","Mainland China",19.19673,109.7455,2020-01-22,4,"confirmed"
"12","Hebei","Mainland China",38.0428,114.5149,2020-01-22,1,"confirmed"
"13","Henan","Mainland China",33.88202,113.614,2020-01-22,5,"confirmed"
"14","Hubei","Mainland China",30.97564,112.2707,2020-01-22,444,"confirmed"
"15","Hunan","Mainland China",27.61041,111.7088,2020-01-22,4,"confirmed"
"16","Jiangsu","Mainland China",32.97027,119.464,2020-01-22,1,"confirmed"
"17","Jiangxi","Mainland China",27.61401,115.7221,2020-01-22,2,"confirmed"
"18","Liaoning","Mainland China",41.29284,122.6086,2020-01-22,2,"confirmed"
"19","Macau","Macau",22.1987,113.5439,2020-01-22,1,"confirmed"
"20","Ningxia","Mainland China",37.26923,106.1655,2020-01-22,1,"confirmed"
"21","Seattle, WA","US",47.7511,-120.74,2020-01-22,1,"confirmed"
"22","Shandong","Mainland China",36.34377,118.1529,2020-01-22,2,"confirmed"
"23","Shanghai","Mainland China",31.20327,121.4554,2020-01-22,9,"confirmed"
"24","Shanxi","Mainland China",37.57769,112.2922,2020-01-22,1,"confirmed"
"25","Sichuan","Mainland China",30.61714,102.7103,2020-01-22,5,"confirmed"
"26","Taiwan","Taiwan",23.6978,120.9605,2020-01-22,1,"confirmed"
"27","Tianjin","Mainland China",39.29362,117.333,2020-01-22,4,"confirmed"
"28","Yunnan","Mainland China",24.97411,101.4868,2020-01-22,1,"confirmed"
"29","Zhejiang","Mainland China",29.18251,120.0985,2020-01-22,10,"confirmed"
"30","Hubei","Mainland China",30.97564,112.2707,2020-01-22,17,"death"
"31","Hubei","Mainland China",30.97564,112.2707,2020-01-22,28,"recovered"
