"","fecha","casos","altas","fallecimientos","ingresos_uci","hospitalizados"
"1","2020-02-25",3,NA,NA,NA,NA
"2","2020-02-26",10,NA,NA,NA,NA
"3","2020-02-27",16,NA,NA,NA,NA
"4","2020-02-28",32,NA,NA,NA,NA
"5","2020-02-29",44,NA,NA,NA,NA
"6","2020-03-01",66,NA,NA,NA,NA
"7","2020-03-02",114,NA,NA,NA,NA
"8","2020-03-03",135,NA,NA,NA,NA
"9","2020-03-04",198,NA,1,7,NA
"10","2020-03-05",237,NA,3,9,NA
"11","2020-03-06",365,NA,5,11,NA
"12","2020-03-07",430,NA,8,NA,NA
"13","2020-03-08",589,NA,17,NA,NA
"14","2020-03-09",999,23,17,68,NA
"15","2020-03-10",1622,135,35,100,NA
"16","2020-03-11",2128,183,47,142,NA
"17","2020-03-12",2950,189,84,190,NA
"18","2020-03-13",4209,189,120,272,NA
"19","2020-03-14",5753,517,136,293,NA
"20","2020-03-15",7753,517,288,382,NA
"21","2020-03-16",9191,530,309,432,NA
"22","2020-03-17",11178,1028,491,563,3215
"23","2020-03-18",13716,1081,598,774,5717
"24","2020-03-19",17147,1107,767,939,NA
"25","2020-03-20",19980,1585,1002,1141,10542
"26","2020-03-21",24926,2125,1326,1612,13282
"27","2020-03-22",28572,2575,1720,1785,15554
"28","2020-03-23",33089,3355,2182,2355,18374
"29","2020-03-24",39673,3794,2696,2636,22762
"30","2020-03-25",47610,5367,3434,3166,26960
"31","2020-03-26",56188,7015,4089,3679,31912
"32","2020-03-27",64059,9357,4858,4165,36293
"33","2020-03-28",72248,12285,5690,4575,40630
"34","2020-03-29",78797,14709,6528,4907,43397
"35","2020-03-30",85195,16780,7340,5231,46617
